restaurant_name,restaurant_type,rating,num_ratings,cost_for_two,online_order,table_booking,cuisines,area,address,cost_per_person,rating_category
Bakers 77,"Bakery, Quick Bites",2.8,40,400.0,0,0,"Bakery, Fast Food",Brigade Road,MG Road,200.0,Poor
Baker's Cafe,Bakery,3.5,8,200.0,1,0,"Bakery, Desserts",Bellandur,Marathahalli,100.0,Good
Bakers Day,Bakery,3.9,48,200.0,0,0,"Bakery, Desserts",Basavanagudi,Basavanagudi,100.0,Good
Baker's Glove,"Bakery, Quick Bites",3.3,7,550.0,1,0,"Desserts, Bakery",Basavanagudi,Jayanagar,275.0,Good
Baker's Home,"Bakery, Dessert Parlor",3.9,179,300.0,1,0,"Bakery, Desserts",Sarjapur Road,Bellandur,150.0,Good
Bakers Paradise,"Bakery, Dessert Parlor",3.0,8,100.0,0,0,"Bakery, Desserts, Beverages",Rajajinagar,Rajajinagar,50.0,Good
Bakers Town,Cafe,3.5,42,600.0,1,0,"Cafe, Continental, Fast Food",Jayanagar,BTM,300.0,Good
Bakers77,"Bakery, Quick Bites",3.8,35,400.0,0,0,"Bakery, Fast Food",Rajajinagar,Basaveshwara Nagar,200.0,Good
Bakewalk,Bakery,3.3,4,200.0,0,0,"Bakery, Arabian",Koramangala 7th Block,Wilson Garden,100.0,Good
Bakimo,Casual Dining,3.5,7,850.0,0,0,Continental,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,425.0,Good
Bakingo,Bakery,3.4,6,500.0,1,0,"Bakery, Desserts",Whitefield,Marathahalli,250.0,Good
Balaji Abhiruchi Multicuisine Restaurant,Casual Dining,3.4,27,550.0,0,0,"South Indian, North Indian, Chinese",Marathahalli,Marathahalli,275.0,Good
Balaji Bombay Vada Pav Gujrati Dalebi,Takeaway,3.8,37,150.0,1,0,"Street Food, Sandwich",Bannerghatta Road,JP Nagar,75.0,Good
Balaji Hotel,Quick Bites,2.8,40,300.0,1,0,"South Indian, North Indian, Beverages",Marathahalli,Kaggadasapura,150.0,Poor
Ballava,Quick Bites,3.3,5,400.0,0,0,"North Indian, South Indian",Bannerghatta Road,Bannerghatta Road,200.0,Good
Balle Balle Dhaba,Quick Bites,3.6,195,500.0,1,0,"North Indian, Chinese",Kalyan Nagar,Kalyan Nagar,250.0,Good
Balle-Licious Kitchen,Delivery,3.9,170,400.0,1,0,North Indian,HSR,HSR,200.0,Good
Baluchi - The Lalit Ashok Bangalore,Fine Dining,4.0,134,3700.0,0,1,"North Indian, Kashmiri, Mughlai",Malleshwaram,Seshadripuram,1850.0,Excellent
Bamboo Heights,Casual Dining,3.7,112,500.0,0,0,"Chinese, Fast Food, Continental","Byresandra,Tavarekere,Madiwala",BTM,250.0,Good
Bamboo Shades,Casual Dining,2.8,48,1000.0,1,0,"Charcoal Chicken, Chinese, North Indian, Juices, Desserts, Seafood, South Indian",Electronic City,Electronic City,500.0,Poor
Bamey's Restro Cafe,Casual Dining,4.2,532,600.0,1,0,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,300.0,Excellent
