restaurant_name,restaurant_type,rating,num_ratings,cost_for_two,online_order,table_booking,cuisines,area,address,cost_per_person,rating_category
Johny's Kitchen,Quick Bites,4.1,59,300.0,1,0,"North Indian, South Indian",Indiranagar,Jeevan Bhima Nagar,150.0,Excellent
Jonah's,"Casual Dining, Bar",4.1,1827,1100.0,1,1,"Italian, Seafood, American, Continental",Indiranagar,Indiranagar,550.0,Excellent
Joon Restaurant,Quick Bites,3.7,31,400.0,1,0,"Arabian, Chinese, North Indian, Kerala, Juices",Bannerghatta Road,BTM,200.0,Good
Jordan Food Corner,Quick Bites,2.8,40,200.0,0,0,"North Indian, Fast Food",Marathahalli,Marathahalli,100.0,Poor
Jose's Mess,Mess,4.3,315,300.0,0,0,"Kerala, South Indian, Biryani","Byresandra,Tavarekere,Madiwala",BTM,150.0,Excellent
Joshi's Mumbai Masala,Quick Bites,3.3,6,150.0,0,0,"Street Food, Fast Food",Basavanagudi,Basavanagudi,75.0,Good
Joshitha Andra Mess,Mess,3.2,9,250.0,0,0,"Andhra, Biryani",Electronic City,Electronic City,125.0,Good
JP Fish Land,Quick Bites,3.6,24,300.0,1,0,Seafood,Bannerghatta Road,BTM,150.0,Good
J's Cafe,Cafe,3.9,155,700.0,0,0,"Cafe, Continental",Indiranagar,Indiranagar,350.0,Good
JS Food Court,Quick Bites,3.8,127,400.0,1,0,"Fast Food, Juices",Frazer Town,Kammanahalli,200.0,Good
Juba Cafe,Quick Bites,3.4,13,100.0,0,0,Juices,Kalyan Nagar,Kalyan Nagar,50.0,Good
Jubli Biryani,Quick Bites,3.6,17,500.0,1,0,"Biryani, Chinese",Whitefield,Whitefield,250.0,Good
Juice 99,Beverage Shop,3.5,20,150.0,1,0,"Fast Food, Beverages",Koramangala 4th Block,BTM,75.0,Good
Juice Berg,Bakery,4.0,181,500.0,1,0,"Bakery, Desserts",Whitefield,Whitefield,250.0,Excellent
Juice Buzz,Beverage Shop,3.1,10,200.0,0,0,Juices,"Byresandra,Tavarekere,Madiwala",JP Nagar,100.0,Good
Juice Fresco,Beverage Shop,3.3,15,150.0,1,0,Beverages,Kalyan Nagar,Nagawara,75.0,Good
Juice Fresco & Pizza,"Quick Bites, Beverage Shop",3.4,12,300.0,0,0,"Beverages, Pizza","Byresandra,Tavarekere,Madiwala",JP Nagar,150.0,Good
Juice Junction,Beverage Shop,2.8,20,150.0,1,0,"Juices, Fast Food","Byresandra,Tavarekere,Madiwala",JP Nagar,75.0,Poor
Juice Junction Food Court,"Beverage Shop, Quick Bites",3.7,70,250.0,1,0,"Beverages, Juices, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,125.0,Good
Juice Land,Beverage Shop,3.9,141,300.0,1,0,"Juices, Beverages",Bannerghatta Road,Bannerghatta Road,150.0,Good
Juice Lounge,Beverage Shop,3.1,28,250.0,1,0,"Beverages, Healthy Food",Bannerghatta Road,BTM,125.0,Good
Juice Point,"Beverage Shop, Quick Bites",3.2,6,100.0,0,0,"Juices, Beverages, Fast Food",Koramangala 4th Block,Koramangala 1st Block,50.0,Good
Juice Shop,Quick Bites,3.3,11,200.0,0,0,"Street Food, Beverages",Lavelle Road,Brigade Road,100.0,Good
Juiced Burger,Delivery,3.5,5,750.0,1,0,Burger,HSR,South Bangalore,375.0,Good
Juicemaker,Beverage Shop,3.8,29,400.0,0,0,"Beverages, Fast Food",Brigade Road,Cunningham Road,200.0,Good
Juicy,Beverage Shop,3.8,80,200.0,1,0,"Beverages, Juices, Fast Food",Indiranagar,Old Airport Road,100.0,Good
Juicy & Spicy,"Quick Bites, Beverage Shop",3.1,4,150.0,1,0,"Bakery, Fast Food",Bannerghatta Road,JP Nagar,75.0,Good
Juicy Hut,Quick Bites,3.2,9,200.0,0,0,"Juices, Fast Food",Bannerghatta Road,Bannerghatta Road,100.0,Good
Juicy Juice,Beverage Shop,3.5,40,100.0,0,0,"Beverages, Ice Cream",Koramangala 6th Block,Ejipura,50.0,Good
Juicy Momos,Food Court,3.1,21,250.0,1,0,"Tibetan, Momos",Bannerghatta Road,Bannerghatta Road,125.0,Good
JukeBox,"Casual Dining, Bar",3.9,281,1000.0,0,1,"Continental, Parsi, Chinese, North Indian, Italian, Steak","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,500.0,Good
Jumping Beans,Cafe,4.0,220,850.0,1,0,"Cafe, North Indian, Chinese, Biryani, Beverages",Indiranagar,Old Madras Road,425.0,Excellent
Just Bake,Bakery,2.7,23,400.0,1,0,Bakery,Old Airport Road,Old Airport Road,200.0,Poor
Just Baked,Bakery,3.4,11,400.0,0,0,"Bakery, Desserts",Frazer Town,Frazer Town,200.0,Good
Just Bunny,Quick Bites,3.5,11,200.0,1,0,Fast Food,Banashankari,Jayanagar,100.0,Good
Just Cakes,Bakery,3.4,22,350.0,1,0,Bakery,Electronic City,Electronic City,175.0,Good
Just Chill,Beverage Shop,3.4,54,250.0,1,0,Beverages,Bannerghatta Road,BTM,125.0,Good
Just Delhiwala,Quick Bites,3.8,80,300.0,1,0,North Indian,Bellandur,Bellandur,150.0,Good
Just Dosa,Quick Bites,3.7,34,200.0,0,0,South Indian,HSR,HSR,100.0,Good
Just Eat,Quick Bites,2.8,40,500.0,1,0,"North Indian, Chinese, Beverages",Indiranagar,Indiranagar,250.0,Poor
Just Fresh Point,Quick Bites,4.0,162,300.0,1,0,"Street Food, American, Sandwich, Fast Food, Beverages, Burger, Desserts, Pizza",Electronic City,Electronic City,150.0,Excellent
Just Homely,"Takeaway, Delivery",2.8,40,300.0,1,0,North Indian,Electronic City,Electronic City,150.0,Poor
Just Khao Suey,Casual Dining,4.0,183,600.0,1,0,Burmese,Old Airport Road,Indiranagar,300.0,Excellent
Just Kulfi,Dessert Parlor,3.4,6,300.0,1,0,"Ice Cream, Fast Food",Indiranagar,Indiranagar,150.0,Good
Just One More,Quick Bites,3.4,18,200.0,0,0,"South Indian, Street Food",Frazer Town,Frazer Town,100.0,Good
Just Parathas,Quick Bites,3.4,5,250.0,0,0,North Indian,Brookefield,Brookefield,125.0,Good
Just Protein,Food Truck,3.4,5,350.0,0,0,"Chinese, Fast Food",Kalyan Nagar,North Bangalore,175.0,Good
Just Sandwiches,Quick Bites,3.6,10,100.0,1,0,Sandwich,Basavanagudi,BTM,50.0,Good
Just Shawarma,Kiosk,3.9,176,300.0,1,0,Arabian,Electronic City,Electronic City,150.0,Good
Just Thindi,Quick Bites,3.6,16,200.0,1,0,South Indian,Banashankari,Basavanagudi,100.0,Good
Just Yum,Quick Bites,3.6,78,500.0,1,0,"North Indian, Chinese",Sarjapur Road,Sarjapur Road,250.0,Good
Just@99,Quick Bites,3.1,7,300.0,1,0,"Chinese, South Indian, North Indian",New BEL Road,New BEL Road,150.0,Good
JustBe Cafe,Cafe,4.3,476,1000.0,0,1,"Cafe, Beverages, Healthy Food",Malleshwaram,Sadashiv Nagar,500.0,Excellent
JW Kitchen - JW Marriott Bengaluru,Fine Dining,4.4,2111,2200.0,0,1,"North Indian, Continental, Italian",Brigade Road,Lavelle Road,1100.0,Excellent
K V Canteen,Quick Bites,3.5,17,100.0,0,0,South Indian,Brigade Road,Commercial Street,50.0,Good
K.C Das,"Sweet Shop, Quick Bites",3.4,8,200.0,0,0,"Mithai, Street Food",Bannerghatta Road,Bannerghatta Road,100.0,Good
K.G.N Kabbab Corner,Quick Bites,4.0,83,500.0,0,0,"North Indian, Kebab",Kalyan Nagar,Kalyan Nagar,250.0,Excellent
K27 - The Pub,Bar,3.1,30,1000.0,0,0,"Chinese, North Indian",Banashankari,Banashankari,500.0,Good
KA 12 - Flavour Of Coorg,Quick Bites,4.0,105,300.0,1,0,South Indian,New BEL Road,New BEL Road,150.0,Excellent
KA 51 Restocafe,Cafe,3.9,39,650.0,0,0,"Cafe, Mughlai",Electronic City,Electronic City,325.0,Good
KA53,Delivery,3.9,45,300.0,1,0,"Biryani, North Indian, Chinese",Whitefield,Whitefield,150.0,Good
Kaafi Desi,Quick Bites,4.0,528,150.0,1,0,"North Indian, Street Food",Marathahalli,Marathahalli,75.0,Excellent
Kaaka T Cafe,Quick Bites,3.5,6,400.0,0,0,Fast Food,"Byresandra,Tavarekere,Madiwala",BTM,200.0,Good
Kaapi Corner,Quick Bites,2.8,40,100.0,0,0,South Indian,Banashankari,Banashankari,50.0,Poor
Kaapi Kendra,Quick Bites,3.7,14,100.0,1,0,South Indian,Banashankari,Jayanagar,50.0,Good
Kaapi Kuteera,Quick Bites,3.5,86,100.0,1,0,South Indian,JP Nagar,Kanakapura Road,50.0,Good
Kaapikada,Quick Bites,2.8,40,250.0,0,0,"Kerala, Fast Food, Beverages",Kalyan Nagar,Kammanahalli,125.0,Poor
KAARA BY THE LAKE,Cafe,4.0,47,750.0,0,0,"Cafe, Italian, Coffee",Brigade Road,Ulsoor,375.0,Excellent
Kaaram,Casual Dining,3.8,327,500.0,1,0,"Andhra, Biryani",Koramangala 7th Block,Koramangala 6th Block,250.0,Good
Kaati Roll Delights,"Takeaway, Delivery",3.2,4,150.0,0,0,"Fast Food, Rolls",Koramangala 4th Block,HSR,75.0,Good
Kaati Zone,Quick Bites,2.8,26,350.0,0,0,"Fast Food, Biryani, Rolls",Malleshwaram,Malleshwaram,175.0,Poor
Kaayal,Casual Dining,3.0,253,500.0,1,0,"Kerala, Chinese",Indiranagar,Jeevan Bhima Nagar,250.0,Good
Kabab Ghar,"Takeaway, Delivery",3.1,11,600.0,1,0,"Biryani, North Indian, Kebab",Bellandur,Bellandur,300.0,Good
Kabab Korner,Casual Dining,3.9,205,500.0,1,0,"North Indian, Chinese, Fast Food",Brigade Road,St. Marks Road,250.0,Good
Kabab Magic,Casual Dining,3.0,451,500.0,1,0,"North Indian, Kebab, Fast Food",Brookefield,Marathahalli,250.0,Good
Kabab Mandra,Quick Bites,2.7,165,300.0,0,0,"North Indian, Chinese",Whitefield,Whitefield,150.0,Poor
Kabab Mehal,Quick Bites,3.7,65,400.0,1,0,"Kebab, North Indian, Fast Food, Beverages",Bannerghatta Road,JP Nagar,200.0,Good
Kabab Mirchi,Quick Bites,3.2,4,300.0,0,0,"North Indian, Chinese, Mughlai",Marathahalli,Marathahalli,150.0,Good
Kabab Nation Corner,Quick Bites,3.5,75,500.0,1,0,"Chinese, Arabian, Fast Food",Brigade Road,Brigade Road,250.0,Good
Kabab Palace,Quick Bites,3.4,7,600.0,1,0,"North Indian, Chinese, Rolls",Kalyan Nagar,Nagawara,300.0,Good
Kabab Souq,Quick Bites,3.4,7,400.0,0,0,"North Indian, Chinese",Electronic City,Electronic City,200.0,Good
Kabab Treat,Casual Dining,2.8,334,500.0,1,0,"North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,250.0,Poor
Kabab World,Quick Bites,3.0,25,500.0,0,0,"North Indian, Chinese",Sarjapur Road,Sarjapur Road,250.0,Good
Kababish Restaurant,Quick Bites,2.8,40,500.0,1,0,"North Indian, Chinese, Arabian, Biryani, Rolls",Electronic City,Electronic City,250.0,Poor
Kababji Cafe,Quick Bites,2.8,40,300.0,1,0,"Biryani, Rolls, Middle Eastern, Arabian, Charcoal Chicken",Electronic City,Electronic City,150.0,Poor
Kababs N Biryani,Quick Bites,3.4,22,200.0,1,0,South Indian,Banashankari,Banashankari,100.0,Good
Kabsa House,Casual Dining,3.6,24,500.0,0,0,North Indian,Kalyan Nagar,Kalyan Nagar,250.0,Good
Kachori Kafe,Quick Bites,3.1,570,300.0,1,0,"Street Food, Mithai, Desserts, North Indian",HSR,HSR,150.0,Good
Kadai,Casual Dining,3.6,73,450.0,1,0,"North Indian, Chinese, Seafood, South Indian",Malleshwaram,Basaveshwara Nagar,225.0,Good
Kadai Crust - Amma Veetu Samayal,"Takeaway, Delivery",3.8,263,700.0,0,0,"Chettinad, South Indian, Biryani",Church Street,Indiranagar,350.0,Good
Kadai Restaurant,Quick Bites,2.9,27,350.0,1,0,"North Indian, Mughlai, Chinese",Kalyan Nagar,Hennur,175.0,Poor
Kadal Da Meen,Casual Dining,3.9,116,900.0,1,0,"Biryani, Seafood","Byresandra,Tavarekere,Madiwala",HSR,450.0,Good
Kadala Tarangaa,Casual Dining,3.6,129,600.0,1,0,"Mangalorean, Seafood, North Indian",Banashankari,Banashankari,300.0,Good
Kadala Teera,Casual Dining,3.8,46,600.0,1,0,"Seafood, South Indian",Bellandur,Sarjapur Road,300.0,Good
Kadalu Sea Food Restaurant,Fine Dining,3.8,153,500.0,1,0,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",Banashankari,Vijay Nagar,250.0,Good
Kadamba Classic,Quick Bites,3.6,16,300.0,0,0,South Indian,Banashankari,Mysore Road,150.0,Good
Kadamba Foodline,Casual Dining,3.7,28,400.0,1,0,"Chinese, North Indian, South Indian",Indiranagar,Ulsoor,200.0,Good
Kadamba Gardenia,Casual Dining,3.6,74,400.0,0,0,"South Indian, Chinese, North Indian, Street Food",New BEL Road,Jalahalli,200.0,Good
Kadavu Shappu Currys,Quick Bites,3.3,50,400.0,1,0,Kerala,HSR,HSR,200.0,Good
Kadhai Tadka family Restaurant,Quick Bites,2.8,40,400.0,0,0,"Chinese, North Indian",Electronic City,Electronic City,200.0,Poor
Kafe Nook,Quick Bites,3.6,35,300.0,1,0,Fast Food,Bannerghatta Road,BTM,150.0,Good
KafeKombos,"Takeaway, Delivery",3.5,16,300.0,1,0,"North Indian, South Indian, Oriya",HSR,HSR,150.0,Good
Kaggis,Quick Bites,3.8,64,250.0,0,0,"Fast Food, Bakery",Banashankari,Banashankari,125.0,Good
Kaifu,Casual Dining,4.2,418,700.0,1,0,"Chinese, Asian",Malleshwaram,New BEL Road,350.0,Excellent
Kailash Parbat,Food Court,2.6,84,400.0,0,0,North Indian,Brookefield,Whitefield,200.0,Poor
Kairali,Quick Bites,3.9,170,300.0,1,0,"Kerala, South Indian, Seafood, Biryani","Byresandra,Tavarekere,Madiwala",BTM,150.0,Good
Kairali Restaurant,Quick Bites,3.4,19,400.0,1,0,"Kerala, South Indian",Electronic City,Electronic City,200.0,Good
Kairos,Cafe,3.8,63,1000.0,0,0,"Cafe, Italian, European",HSR,HSR,500.0,Good
Kaizen Wellness Kitchen,Casual Dining,3.7,37,800.0,1,0,"Asian, Continental, European",Bannerghatta Road,JP Nagar,400.0,Good
Kaka Da Dhaba,Quick Bites,3.1,16,400.0,0,0,North Indian,Marathahalli,Marathahalli,200.0,Good
Kaka Food Corner,Quick Bites,3.4,86,300.0,1,0,North Indian,Brookefield,Whitefield,150.0,Good
Kaka Singh,Casual Dining,2.6,42,400.0,1,0,North Indian,Bellandur,Bellandur,200.0,Poor
Kakaji,Quick Bites,3.7,205,350.0,1,0,North Indian,Brookefield,Marathahalli,175.0,Good
Kakal Kai Ruchi,Casual Dining,3.9,30,450.0,0,0,"South Indian, North Indian, Chinese",Bannerghatta Road,JP Nagar,225.0,Good
Kakal-Kai Ruchi,Casual Dining,3.7,217,500.0,1,0,"North Indian, South Indian, Chinese",Bannerghatta Road,JP Nagar,250.0,Good
Kaka-T-Cafe,Quick Bites,4.0,60,400.0,0,0,"Arabian, Fast Food",HSR,HSR,200.0,Excellent
Kakatiya's,Quick Bites,3.1,6,250.0,1,0,"South Indian, Biryani",Bellandur,HSR,125.0,Good
Kalavara,Quick Bites,3.4,13,150.0,1,0,"South Indian, Kerala",Indiranagar,CV Raman Nagar,75.0,Good
Kalinga Delicacies Restaurant,Casual Dining,3.1,11,400.0,1,0,"North Indian, Bengali, Oriya",Brookefield,Brookefield,200.0,Good
Kalingas,Quick Bites,3.9,173,250.0,1,0,"Oriya, Fast Food",Bannerghatta Road,BTM,125.0,Good
Kalkata Kati Roll,Quick Bites,3.3,7,150.0,0,0,"Fast Food, Rolls",New BEL Road,Sahakara Nagar,75.0,Good
Kalla's Restaurant,Quick Bites,3.6,19,200.0,1,0,"North Indian, Juices",Brookefield,Marathahalli,100.0,Good
Kallummakkaya,Quick Bites,2.8,40,200.0,1,0,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala",BTM,100.0,Poor
Kalmane Koffees,Cafe,3.6,46,350.0,0,0,Cafe,Brigade Road,Brigade Road,175.0,Good
Kalpanar Rannaghar,Delivery,3.3,9,400.0,0,0,"North Indian, Bengali, Chinese",Koramangala 4th Block,Ejipura,200.0,Good
Kalpana's Kitchen,"Takeaway, Delivery",2.8,40,400.0,0,0,"Bengali, North Indian",Koramangala 4th Block,Ejipura,200.0,Poor
Kalpavriksha Upahara,Quick Bites,3.9,126,400.0,1,0,"South Indian, North Indian, Chinese",Basavanagudi,Jayanagar,200.0,Good
Kalpavruksha,Quick Bites,3.9,99,300.0,1,0,"South Indian, North Indian",Bannerghatta Road,Bannerghatta Road,150.0,Good
Kamakshi Kitchen,Quick Bites,3.7,28,350.0,1,0,"Chinese, South Indian",Brookefield,Marathahalli,175.0,Good
Kamat Bugle Rock,Quick Bites,3.9,543,300.0,1,0,"South Indian, Fast Food",Banashankari,Basavanagudi,150.0,Good
Kamat Hotel,Casual Dining,3.6,60,450.0,0,0,"North Indian, South Indian, Chinese",Brigade Road,Shivajinagar,225.0,Good
Kamat Minerva,Quick Bites,2.6,72,300.0,1,0,"South Indian, North Indian, Chinese",Basavanagudi,Basavanagudi,150.0,Poor
Kamat Restaurant,Casual Dining,3.6,31,400.0,1,0,"South Indian, North Indian, Chinese, Desserts, Juices",Basavanagudi,City Market,200.0,Good
Kamat Swaad,Casual Dining,3.9,193,400.0,1,0,"South Indian, North Indian, Chinese",Bannerghatta Road,JP Nagar,200.0,Good
Kamat Upahaar,Quick Bites,2.8,28,200.0,0,0,"South Indian, North Indian",New BEL Road,Jalahalli,100.0,Poor
Kamat Yatrinivas,Quick Bites,3.0,241,500.0,0,0,"North Indian, South Indian, Chinese",Whitefield,Whitefield,250.0,Good
Kamat's Palate Korner,Casual Dining,4.1,121,600.0,0,0,"North Indian, Chinese",Brigade Road,Richmond Road,300.0,Excellent
Kanchan Dhaba,Quick Bites,3.2,4,350.0,0,0,"North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,175.0,Good
Kanhaiyas,Quick Bites,3.6,10,150.0,0,0,South Indian,JP Nagar,Bannerghatta Road,75.0,Good
Kanha's Kafe,Quick Bites,3.5,12,200.0,0,0,"Awadhi, Bihari, Fast Food, Ice Cream, Mithai","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,100.0,Good
Kanika Biryani Paradise,Casual Dining,3.4,15,700.0,0,0,"North Indian, Andhra, Biryani",Bannerghatta Road,Bannerghatta Road,350.0,Good
Kanis Kitchen,Quick Bites,3.6,14,250.0,0,0,South Indian,Brigade Road,Shivajinagar,125.0,Good
Kannoor Restaurant,Casual Dining,3.1,18,500.0,1,0,"Kerala, Chinese, South Indian, North Indian","Byresandra,Tavarekere,Madiwala",BTM,250.0,Good
Kannur Food Point,Quick Bites,3.7,214,200.0,1,0,"Kerala, North Indian","Byresandra,Tavarekere,Madiwala",BTM,100.0,Good
Kannur Restaurant,Quick Bites,3.7,50,400.0,0,0,"South Indian, North Indian, Kerala",Kalyan Nagar,Kammanahalli,200.0,Good
Kanteen 038,Quick Bites,3.9,51,200.0,1,0,"Tea, Beverages, Fast Food",Brigade Road,Indiranagar,100.0,Good
Kanteen The Eatery,Quick Bites,3.9,77,400.0,1,0,North Indian,Bannerghatta Road,Bannerghatta Road,200.0,Good
Kanthari,Quick Bites,3.9,93,400.0,1,0,"North Indian, Kerala, Chinese",Kalyan Nagar,Kalyan Nagar,200.0,Good
Kanti Sweets,"Dessert Parlor, Quick Bites",3.6,20,400.0,1,0,"Mithai, Street Food",Church Street,Cunningham Road,200.0,Good
Kanti's,Quick Bites,3.8,46,300.0,0,0,"Mithai, Street Food",Marathahalli,Marathahalli,150.0,Good
Kanua,Casual Dining,4.4,889,1400.0,1,1,"Konkan, Mangalorean, Seafood",Bellandur,Sarjapur Road,700.0,Excellent
Kapoor's Biriyani,Quick Bites,3.3,334,400.0,1,0,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",BTM,200.0,Good
Kapoor's Cafe,Casual Dining,4.0,169,800.0,1,0,North Indian,Jayanagar,Jayanagar,400.0,Excellent
Kapoor's Punjabi Rolls,Quick Bites,2.8,40,300.0,1,0,"Rolls, Fast Food",Kalyan Nagar,Kalyan Nagar,150.0,Poor
Karachi Bakery,Bakery,2.8,40,400.0,0,0,"Bakery, Desserts",Church Street,Frazer Town,200.0,Poor
Karahi Kitchen,Delivery,3.9,163,300.0,1,0,"Andhra, Biryani, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,150.0,Good
Karaikudi Restaurant,Quick Bites,3.7,214,300.0,1,0,South Indian,Electronic City,Electronic City,150.0,Good
Karama Restaurant,Casual Dining,4.1,1555,750.0,1,0,"Arabian, North Indian, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,375.0,Excellent
Karavali Deluxe,Quick Bites,3.6,23,450.0,1,0,"North Indian, Chinese",Malleshwaram,Yeshwantpur,225.0,Good
Karavali Family Restaurant,Casual Dining,3.5,90,500.0,1,0,"Seafood, Biryani, South Indian, North Indian, Chinese",Banashankari,Jayanagar,250.0,Good
Karavali Fish Center,Quick Bites,3.4,10,300.0,0,0,"Mangalorean, Chinese",Banashankari,Banashankari,150.0,Good
Karavali Fishland,Casual Dining,3.1,30,700.0,1,0,"South Indian, Mangalorean, Chinese",Electronic City,Electronic City,350.0,Good
Karavali Grand,Casual Dining,2.8,40,600.0,1,1,"North Indian, Seafood",Bannerghatta Road,JP Nagar,300.0,Poor
Karavali Kitchen,Casual Dining,3.1,85,400.0,1,0,Mangalorean,Bellandur,Sarjapur Road,200.0,Good
Karavali Kolimane,Quick Bites,3.7,28,350.0,1,0,"Mangalorean, Chinese, North Indian",Basavanagudi,Wilson Garden,175.0,Good
Karavali Lunch Home,Quick Bites,3.3,4,200.0,0,0,Kerala,"Byresandra,Tavarekere,Madiwala",BTM,100.0,Good
Karavali Naati Mane,Quick Bites,3.1,40,350.0,1,0,South Indian,Bellandur,Sarjapur Road,175.0,Good
Karavalli - The Gateway Hotel,Fine Dining,4.5,674,3500.0,0,1,"Mangalorean, Konkan, Seafood, Kerala",Brigade Road,Residency Road,1750.0,Excellent
Karavalli Food Court,Casual Dining,3.2,4,400.0,0,0,South Indian,Whitefield,Whitefield,200.0,Good
Kareem's,Quick Bites,3.6,32,700.0,1,0,"North Indian, Mughlai",Brigade Road,Frazer Town,350.0,Good
Kargeens,Cafe,3.9,363,900.0,1,0,"Cafe, Italian, Pizza, Continental",Malleshwaram,New BEL Road,450.0,Good
Karibu - The Zuri,Casual Dining,3.9,268,2000.0,0,1,"South Indian, Asian",Whitefield,Whitefield,1000.0,Good
Karigiri Refreshments,Quick Bites,3.7,10,300.0,0,0,Fast Food,Malleshwaram,Rajajinagar,150.0,Good
Karma Foods,Quick Bites,3.2,7,250.0,0,0,"North Indian, Chinese",Marathahalli,Brookefield,125.0,Good
Karma Kaapi,Beverage Shop,4.4,181,250.0,1,0,"Beverages, Tea",Banashankari,Jayanagar,125.0,Excellent
Karnataka Bhel House,Quick Bites,3.9,65,100.0,0,0,Street Food,Jayanagar,Jayanagar,50.0,Good
Karnataka Biriyani Paradise,Quick Bites,3.4,10,300.0,0,0,"North Indian, Biryani",Frazer Town,Frazer Town,150.0,Good
Karnataka Biryani Point,Quick Bites,2.8,40,200.0,1,0,Biryani,Malleshwaram,Malleshwaram,100.0,Poor
Karnataka Briyani point,Quick Bites,3.2,5,300.0,0,0,"North Indian, Chinese",Rajajinagar,Peenya,150.0,Good
Kartik,"Casual Dining, Bar",3.4,6,700.0,0,0,"Chinese, North Indian",Kalyan Nagar,Banaswadi,350.0,Good
Kartik's Mithai Shoppe,Quick Bites,3.8,72,150.0,0,0,"Mithai, Street Food",Whitefield,Whitefield,75.0,Good
Kasol Cafe,Quick Bites,2.8,40,400.0,0,0,"Bengali, Continental",Indiranagar,Indiranagar,200.0,Poor
Kataria's Home Food,Quick Bites,3.1,40,250.0,1,0,"North Indian, Chinese",Koramangala 4th Block,BTM,125.0,Good
Kataria's Pakwan,Quick Bites,3.2,96,400.0,1,0,North Indian,Banashankari,Kumaraswamy Layout,200.0,Good
Kathi Junction,Quick Bites,2.8,44,400.0,1,0,"Rolls, North Indian, Mughlai",Electronic City,Electronic City,200.0,Poor
Katriguppe Donne Biryani,Quick Bites,3.2,4,300.0,0,0,North Indian,Banashankari,Banashankari,150.0,Good
Kaulige Millet Corner,Quick Bites,3.3,4,150.0,0,0,"Healthy Food, South Indian",Basavanagudi,Basavanagudi,75.0,Good
Kava - Fairfield by Marriott,Casual Dining,3.9,284,1500.0,0,1,"North Indian, South Indian, Continental",Bellandur,Bellandur,750.0,Good
Kava Bar - Fairfield By Marriott,Bar,3.4,10,1800.0,0,0,"North Indian, South Indian, Continental",Rajajinagar,Rajajinagar,900.0,Good
Kava Kitchen & Bar - Fairfield by Marriott,"Casual Dining, Bar",3.9,69,1200.0,0,0,"North Indian, South Indian, Continental, American, Asian",Brookefield,Whitefield,600.0,Good
Kavali,Quick Bites,4.0,42,300.0,0,0,"South Indian, Street Food",Banashankari,Banashankari,150.0,Excellent
Kavya Sagar,Quick Bites,2.9,10,250.0,0,0,"South Indian, North Indian",Brigade Road,Richmond Road,125.0,Poor
Kawaii,Dessert Parlor,3.8,138,500.0,1,0,"Desserts, Ice Cream",Bellandur,HSR,250.0,Good
KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Fine Dining,4.4,858,3000.0,0,1,"Asian, Japanese, Thai",Brigade Road,Lavelle Road,1500.0,Excellent
KazÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Fine Dining,4.4,885,3000.0,0,1,"Asian, Japanese, Thai",Lavelle Road,Lavelle Road,1500.0,Excellent
KBC - Kebab Biryani Curry,Quick Bites,3.4,38,400.0,1,0,"North Indian, Chinese, Kebab, Biryani",Whitefield,KR Puram,200.0,Good
KC Das,"Sweet Shop, Quick Bites",3.9,370,200.0,1,0,"Mithai, Street Food",Brigade Road,MG Road,100.0,Good
KC Das - Elite Sweets,"Sweet Shop, Quick Bites",3.2,29,200.0,0,0,"Mithai, Street Food",Kalyan Nagar,Kalyan Nagar,100.0,Good
KC Das - Klassic Foods,"Sweet Shop, Quick Bites",3.0,18,200.0,0,0,"Mithai, Street Food",Jayanagar,Jayanagar,100.0,Good
KC Das - Sai Sweets,"Sweet Shop, Quick Bites",2.9,56,200.0,0,0,"Mithai, Street Food",JP Nagar,JP Nagar,100.0,Poor
KC Das - Sweet Bite,"Sweet Shop, Quick Bites",3.5,20,200.0,0,0,"Mithai, Street Food",Church Street,Frazer Town,100.0,Good
KC Das - Sweet Corner,"Sweet Shop, Quick Bites",2.9,46,200.0,0,0,"Mithai, Street Food",HSR,HSR,100.0,Poor
KC Das - Sweet House,"Sweet Shop, Quick Bites",3.0,32,200.0,0,0,"Mithai, Street Food",New BEL Road,New BEL Road,100.0,Good
KC Das - Sweet Paradise,"Sweet Shop, Quick Bites",2.9,52,200.0,0,0,"Mithai, Street Food",Indiranagar,Indiranagar,100.0,Poor
KC Das - Sweet Sadan,"Sweet Shop, Quick Bites",3.0,36,200.0,1,0,"Mithai, Street Food",Malleshwaram,Malleshwaram,100.0,Good
KC Das - Sweet Sensation,"Sweet Shop, Quick Bites",2.9,31,200.0,0,0,"Mithai, Street Food",Brookefield,Whitefield,100.0,Poor
KC Das - Sweet Spot,"Sweet Shop, Quick Bites",3.6,46,200.0,0,0,"Mithai, Street Food",Banashankari,Basavanagudi,100.0,Good
